,id,user_id,item,created_at,revenue
0,1,109,milk,2020-03-03,123
1,2,139,biscuit,2020-03-18,421
2,3,120,milk,2020-03-18,176
3,4,108,banana,2020-03-18,862
4,5,130,milk,2020-03-28,333
5,6,103,bread,2020-03-29,862
6,7,122,banana,2020-03-07,952
7,8,125,bread,2020-03-13,317
8,9,139,bread,2020-03-30,929
9,10,141,banana,2020-03-17,812
10,11,116,bread,2020-03-31,226
11,12,128,bread,2020-03-04,112
12,13,146,biscuit,2020-03-04,362
13,14,119,banana,2020-03-28,127
14,15,142,bread,2020-03-09,503
15,16,122,bread,2020-03-06,593
16,17,128,biscuit,2020-03-24,160
17,18,112,banana,2020-03-24,262
18,19,149,banana,2020-03-29,382
19,20,100,banana,2020-03-18,599
20,21,130,milk,2020-03-16,604
21,22,103,milk,2020-03-31,290
22,23,112,banana,2020-03-23,523
23,24,102,bread,2020-03-25,325
24,25,120,biscuit,2020-03-21,858
25,26,109,bread,2020-03-22,432
26,27,101,milk,2020-03-01,449
27,28,138,milk,2020-03-19,961
28,29,100,milk,2020-03-29,410
29,30,129,milk,2020-03-02,771
30,31,123,milk,2020-03-31,434
31,32,104,biscuit,2020-03-31,957
32,33,110,bread,2020-03-13,210
33,34,143,bread,2020-03-27,870
34,35,130,milk,2020-03-12,176
35,36,128,milk,2020-03-28,498
36,37,133,banana,2020-03-21,837
37,38,150,banana,2020-03-20,927
38,39,120,milk,2020-03-27,793
39,40,109,bread,2020-03-02,362
40,41,110,bread,2020-03-13,262
41,42,140,milk,2020-03-09,468
42,43,112,banana,2020-03-04,381
43,44,117,biscuit,2020-03-19,831
44,45,137,banana,2020-03-23,490
45,46,130,bread,2020-03-09,149
46,47,133,bread,2020-03-08,658
47,48,143,milk,2020-03-11,317
48,49,111,biscuit,2020-03-23,204
49,50,150,banana,2020-03-04,299
50,51,131,bread,2020-03-10,155
51,52,140,biscuit,2020-03-17,810
52,53,147,banana,2020-03-22,702
53,54,119,biscuit,2020-03-15,355
54,55,116,milk,2020-03-12,468
55,56,141,milk,2020-03-14,254
56,57,143,bread,2020-03-16,647
57,58,105,bread,2020-03-21,562
58,59,149,biscuit,2020-03-11,827
59,60,117,banana,2020-03-22,249
60,61,150,banana,2020-03-21,450
61,62,134,bread,2020-03-08,981
62,63,133,banana,2020-03-26,353
63,64,127,milk,2020-03-27,300
64,65,101,milk,2020-03-26,740
65,66,137,biscuit,2020-03-12,473
66,67,113,biscuit,2020-03-21,278
67,68,141,bread,2020-03-21,118
68,69,112,biscuit,2020-03-14,334
69,70,118,milk,2020-03-30,603
70,71,111,milk,2020-03-19,205
71,72,146,biscuit,2020-03-13,599
72,73,148,banana,2020-03-14,530
73,74,100,banana,2020-03-13,175
74,75,105,banana,2020-03-05,815
75,76,129,milk,2020-03-02,489
76,77,121,milk,2020-03-16,476
77,78,117,bread,2020-03-11,270
78,79,133,milk,2020-03-12,446
79,80,124,bread,2020-03-31,937
80,81,145,bread,2020-03-07,821
81,82,105,banana,2020-03-09,972
82,83,131,milk,2020-03-09,808
83,84,114,biscuit,2020-03-31,202
84,85,120,milk,2020-03-06,898
85,86,130,milk,2020-03-06,581
86,87,141,biscuit,2020-03-11,749
87,88,147,bread,2020-03-14,262
88,89,118,milk,2020-03-15,735
89,90,136,biscuit,2020-03-22,410
90,91,132,bread,2020-03-06,161
91,92,137,biscuit,2020-03-31,427
92,93,107,bread,2020-03-01,701
93,94,111,biscuit,2020-03-18,218
94,95,100,bread,2020-03-07,410
95,96,106,milk,2020-03-21,379
96,97,114,banana,2020-03-25,705
97,98,110,bread,2020-03-27,225
98,99,130,milk,2020-03-16,494
99,100,117,bread,2020-03-10,209
